目标放大倍率,实际放大倍率（边长比例）,1倍基准边长(px),当前边长平均值(px),数据个数,标准差(px)
1.1,1.02,101.48,103.51,100,0.57
1.2,1.03,101.48,104.5,100,0.65
1.3,1.06,101.48,107.46,100,0.9
1.4,1.07,101.48,108.88,100,0.74
1.5,1.09,101.48,110.87,100,0.87
1.6,1.11,101.48,112.99,100,0.65
1.7,1.13,101.48,115.02,100,0.82
1.8,1.16,101.48,117.82,100,0.78
1.9,1.18,101.48,119.49,100,0.74
2.0,1.2,101.48,121.9,100,0.69
2.1,1.24,101.48,125.36,100,1.02
2.2,1.25,101.48,126.73,100,0.76
2.3,1.28,101.48,129.86,100,0.87
2.4,1.3,101.48,132.36,100,0.93
2.5,1.34,101.48,135.72,100,0.72
2.6,1.36,101.48,138.5,100,0.86
2.7,1.39,101.48,141.14,100,0.89
2.8,1.43,101.48,144.69,100,0.87
2.9,1.47,101.48,148.84,100,1.13
3.0,1.5,101.48,152.29,100,0.79
3.1,1.55,101.48,157.05,100,1.09
3.2,1.58,101.48,160.75,100,0.78
3.3,1.63,101.48,165.15,100,1.11
3.4,1.67,101.48,169.44,100,0.96
3.5,1.71,101.48,173.86,100,1.07
3.6,1.77,101.48,179.48,100,1.32
3.7,1.82,101.48,184.81,100,1.15
3.8,1.87,101.48,190.21,100,1.48
3.9,1.94,101.48,196.52,100,1.35
4.0,2.0,101.48,203.14,100,1.5
4.1,2.07,101.48,210.31,100,1.35
4.2,2.14,101.48,217.3,100,1.62
4.3,2.22,101.48,225.54,100,1.61
4.4,2.31,101.48,234.14,100,2.05
4.5,2.4,101.48,243.98,100,1.89
4.6,2.5,101.48,253.76,100,2.16
4.7,2.61,101.48,264.97,100,2.22
4.8,2.73,101.48,277.14,100,2.61
4.9,2.86,101.48,290.69,100,2.89
5.0,3.0,101.48,304.64,100,3.01
5.1,3.16,101.48,320.8,100,3.3
5.2,3.34,101.48,338.73,100,3.88
5.3,3.53,101.48,358.72,100,4.02
5.4,3.75,101.48,380.84,100,4.43
5.5,4.0,101.48,406.19,100,5.07
5.6,4.29,101.48,434.94,100,5.94
5.7,4.61,101.48,467.99,96,6.67
5.8,5.0,101.48,507.71,100,7.87
5.9,5.45,101.48,553.08,100,8.95
6.0,5.99,101.48,607.86,100,10.72
